fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,net_exposure,sizing_volatility,target_gross,traded,skip_reason,weight_TSLA,weight_NFLX,weight_PLTR,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
0,2020-10-01,2022-09-30,2022-10-03,2023-04-03,31.811601609039553,29.7961,True,28.78845870509108,0.6150514659822917,0.42285958855914896,1.0,True,,0.5836238312706015,-0.19247426700885414,0.22390190172054442,1.0,0.6899369611396065,1.7352829428794225,160.0,40,1.7285829792464793,14,0.7913759934247777,-0.002264809193570305,-1.1550998564557666e-05,2
1,2021-04-05,2023-04-03,2023-04-04,2023-10-03,22.339908167717223,29.7961,False,59.2651627980672,0.6729028533639025,0.37916330026894923,1.0,False,not cointegrated (trace 22.34 <= critical 29.80),0.5889704594644407,0.2474809672175106,-0.16354857331804876,,,,,0,,0,,0.0,,0
2,2021-10-01,2023-10-03,2023-10-04,2024-04-04,32.34854597352543,29.7961,True,29.706423851934904,0.363266034225139,0.2913551922010771,1.0,True,,0.4680913531493513,0.21354166396321825,-0.31836698288743054,1.061429378857408,0.20187847830732575,3.5503785615433836,170.0,40,1.7782009371024166,7,0.6750529221133927,-0.09565898298285191,-0.6825384373897035,2
3,2022-04-01,2024-04-04,2024-04-05,2024-10-03,25.873989227756056,29.7961,False,18.485357265731096,0.5289274452224304,0.30814175028937213,1.0,False,not cointegrated (trace 25.87 <= critical 29.80),0.4656682831275821,0.29879543948363313,-0.23553627738878485,,,,,0,,0,,0.0,,0
4,2022-10-03,2024-10-03,2024-10-04,2024-12-31,32.55766956554338,29.7961,True,10.11432648054639,0.4040818086466024,0.23179020985104656,1.0,True,,0.22053554328083336,0.48150536104246777,-0.29795909567669876,1.0,0.6478140619051985,4.0,126.0,40,2.1640150284448882,18,0.9682023967955339,0.09121655091282599,2.1458203674230427,4
