date,equity,return,gross_exposure,net_exposure,zscore
2022-10-03,100000.0,,0.0,0.0,-1.4788542614070774
2022-10-04,99950.0,-0.0004999999999999449,1.0005002501250626,0.6153591455550692,-1.1923211088171657
2022-10-05,98145.16400160542,-0.01805738867828499,0.9939800964719573,0.6082897012861983,-1.4078321397942004
2022-10-06,97387.03159643884,-0.0077246027644741755,0.9993390299631099,0.6052441958034122,-1.4860644259591747
2022-10-07,94236.95015029966,-0.032346005361296726,0.9734106807261416,0.5920526379131995,-1.8859643255525171
2022-10-10,93508.57896704508,-0.007729146392077557,0.0,0.0,-1.94565370263426
2022-10-11,93508.57896704508,0.0,0.0,0.0,-1.9704469531851805
2022-10-12,93508.57896704508,0.0,0.0,0.0,-1.9897197684045433
2022-10-13,93508.57896704508,0.0,0.0,0.0,-1.9352411968515177
2022-10-14,93508.57896704508,0.0,0.0,0.0,-2.5900057185117267
2022-10-17,93508.57896704508,0.0,0.0,0.0,-2.0859706285980555
2022-10-18,93508.57896704508,0.0,0.0,0.0,-1.9154759959265062
2022-10-19,93508.57896704508,0.0,0.0,0.0,-2.165705667978218
2022-10-20,93508.57896704508,0.0,0.0,0.0,-2.4837487874845854
2022-10-21,93508.57896704508,0.0,0.0,0.0,-2.3008592436702053
2022-10-24,93508.57896704508,0.0,0.0,0.0,-2.301588689015459
2022-10-25,93508.57896704508,0.0,0.0,0.0,-1.896953705450787
2022-10-26,93508.57896704508,0.0,0.0,0.0,-1.8799635171738036
2022-10-27,93508.57896704508,0.0,0.0,0.0,-1.8179849344592307
2022-10-28,93508.57896704508,0.0,0.0,0.0,-1.6845637183950652
2022-10-31,93508.57896704508,0.0,0.0,0.0,-1.6286002604560843
2022-11-01,93508.57896704508,0.0,0.0,0.0,-1.6043380025407983
2022-11-02,93508.57896704508,0.0,0.0,0.0,-1.9348090443946682
2022-11-03,93508.57896704508,0.0,0.0,0.0,-1.901303710282555
2022-11-04,93508.57896704508,0.0,0.0,0.0,-2.0563238926531233
2022-11-07,93508.57896704508,0.0,0.0,0.0,-2.5334703669830523
2022-11-08,93508.57896704508,0.0,0.0,0.0,-2.6059091936137424
2022-11-09,93508.57896704508,0.0,0.0,0.0,-2.926628638977788
2022-11-10,93508.57896704508,0.0,0.0,0.0,-2.4327889177663056
2022-11-11,93508.57896704508,0.0,0.0,0.0,-2.142931768628071
2022-11-14,93508.57896704508,0.0,0.0,0.0,-2.3606599472907104
2022-11-15,93508.57896704508,0.0,0.0,0.0,-2.230086915618089
2022-11-16,93508.57896704508,0.0,0.0,0.0,-2.42787315788025
2022-11-17,93508.57896704508,0.0,0.0,0.0,-2.5244140776646438
2022-11-18,93508.57896704508,0.0,0.0,0.0,-2.56653077231809
2022-11-21,93508.57896704508,0.0,0.0,0.0,-2.8836820082156702
2022-11-22,93508.57896704508,0.0,0.0,0.0,-2.7547173555110267
