n_bars,oos_start,oos_end,n_folds,n_traded,n_not_cointegrated,n_not_hedged,n_half_life,n_trades,win_rate,n_zscore_stops,n_loss_stops,n_time_stops,total_return,sharpe,psr,p_value,max_drawdown,time_in_market,median_net_exposure,median_spread_volatility,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,sharpe_frictionless,total_return_frictionless,mean_gross_pnl_bps,mean_cost_bps,pair,family,discovery
3774,2012-01-03,2024-12-31,26,2,22,2,0,6,0.6666666666666666,0,0,0,0.00056636545984734,0.021610745677106562,0.5309840530480743,0.4690159469519257,-0.005442249881298156,0.028440366972477066,0.0759772161400426,0.015593937550874789,0.2518645111389483,0.021610745677106562,-0.1841935490644963,-0.47310550086166625,0.2873118573499361,0.007643897877991135,12.729635562643477,11.75532974252372,IYJ/XLI,industrials,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,7,0.42857142857142855,0,0,0,-0.016470963196814292,-0.23752729447834212,0.1916927073963557,0.8083072926036443,-0.032210660585596074,0.0400611620795107,0.055246274317229754,0.022458926001554025,-0.1353996828867973,-0.23752729447834212,-0.3347208704660952,-0.5062013995298917,-0.1160205479751082,-0.008097053661938358,-11.617813849076216,12.09230454958242,IYW/XLK,technology,False
3774,2012-01-03,2024-12-31,26,1,24,1,0,1,0.0,0,0,1,-0.014334965661943477,-0.28992208991073054,0.14687177919301242,0.8531282208069876,-0.020979257072177404,0.011009174311926606,0.22333519340643615,0.09201233088581082,-0.26836900615087317,-0.28992208991073054,-0.31068159971237636,-0.3491577727714289,-0.2604896286542228,-0.01291005318138938,-129.1005318138927,14.249124805536898,EWG/EWL,developed_europe,False
3774,2012-01-03,2024-12-31,26,0,25,1,0,0,,0,0,0,0.0,,,,0.0,0.0,0.18138428548135416,,,,,,,0.0,,,EWG/EWQ,developed_europe,False
3774,2012-01-03,2024-12-31,26,0,19,7,0,0,,0,0,0,0.0,,,,0.0,0.0,0.2746130534032416,,,,,,,0.0,,,EWG/EWU,developed_europe,False
3774,2012-01-03,2024-12-31,26,3,22,1,0,8,0.75,0,0,1,0.03459793430926772,0.2854711534999079,0.8523553539015439,0.14764464609845607,-0.0173894339881423,0.043119266055045874,0.29170630184174146,0.07872075514418256,0.35106090364796655,0.2854711534999079,0.21940078785375716,0.08850100857617056,0.36370580573690126,0.04435930183275838,55.45485086148966,12.031222792443582,EWL/EWQ,developed_europe,False
3774,2012-01-03,2024-12-31,26,4,20,2,0,8,0.375,0,0,4,-0.03269578250115246,-0.2677178958845721,0.16920343674027122,0.8307965632597287,-0.04397643363073167,0.05840978593272171,0.255868233219277,0.05809042626657106,-0.19999775710415002,-0.2677178958845721,-0.33533801013329684,-0.46737526241935823,-0.1828320581770964,-0.022790078608613262,-28.70835487400206,12.68304928201597,EWL/EWU,developed_europe,False
3774,2012-01-03,2024-12-31,26,3,18,5,0,7,0.8571428571428571,0,0,1,0.022632345670007492,0.1787810472914366,0.7393913595314116,0.26060864046858845,-0.04236752639242114,0.037003058103975535,0.31666455716713726,0.05982380232742329,0.23260378578496282,0.1787810472914366,0.12453308520420298,0.01651125658816506,0.2422342005003867,0.031040668639948032,43.740268894149864,11.735337986938752,EWQ/EWU,developed_europe,False
3774,2012-01-03,2024-12-31,26,3,21,2,0,7,0.2857142857142857,0,0,3,-0.09302417885501801,-0.4804262535118681,0.03526664530512456,0.9647333546948754,-0.09386026426454053,0.046483180428134555,0.31396737478474646,0.08701462661844896,-0.4458646187891172,-0.4804262535118681,-0.5142010267305878,-0.5789990895806935,-0.4384346954257693,-0.08508798194577782,-124.01752023484772,12.265906843854518,EWH/EWJ,developed_asia,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,8,0.625,0,0,3,-0.03968090724628015,-0.23596418528286037,0.19587781624087786,0.8041221837591221,-0.057776832339648365,0.047400611620795105,0.18105927470753333,0.056573915242247905,-0.18881139014716802,-0.23596418528286037,-0.2822209387876327,-0.37117509806321447,-0.17920829134563135,-0.030390576648813616,-39.18176748650879,11.977790422793849,EWH/EWS,developed_asia,False
