direction,signal_date,entry_date,exit_date,exit_reason,holding_bars,entry_equity,entry_gross_notional,gross_pnl,borrow_cost,trading_cost,net_pnl,return_on_equity,is_open,fold
1,2016-01-12,2016-01-13,2016-03-02,exit,33,100000.0,100000.0,-882.6392353225174,31.248771912409804,97.77803473780708,-1011.6660419727342,-0.010116660419727343,False,8
-1,2016-04-11,2016-04-12,2016-05-13,exit,23,98988.33395802727,98988.33395802727,-12.682622289577601,23.87298938525398,100.4430272841765,-136.99863895900808,-0.0013839877234129206,False,8
1,2016-06-27,2016-06-28,2016-06-30,exit,2,98851.33531906828,98851.33531906828,604.5868982726649,2.0318630495758807,100.85978077949588,501.69525444359317,0.005075250150382307,False,8
