fold,formation_start,formation_end,trading_start,trading_end,trace_stat,trace_critical,cointegrated,half_life_days,net_exposure,sizing_volatility,target_gross,traded,skip_reason,weight_KO,weight_PEP,entry_z,exit_z,stop_z,lookback,n_trials,is_sharpe,is_trades,is_deflated_sharpe,oos_return,oos_sharpe,oos_trades
12,2016-01-06,2018-01-04,2018-01-05,2018-07-06,4.449735777575394,15.4943,False,55.12151712716312,0.47000201405372205,0.06837451121308374,1.0,False,not cointegrated (trace 4.45 <= critical 15.49),0.735001007026861,-0.26499899297313895,,,,,0,,0,,0.0,,0
13,2016-07-07,2018-07-06,2018-07-09,2019-01-07,8.980224967072854,15.4943,False,39.27727324549259,0.008386531130076536,0.04660236836575646,1.0,False,not cointegrated (trace 8.98 <= critical 15.49),0.49580673443496176,-0.5041932655650383,,,,,0,,0,,0.0,,0
14,2017-01-05,2019-01-07,2019-01-08,2019-07-09,9.223517554858264,15.4943,False,32.33275838403515,0.8239792550241618,0.12789388431595958,1.0,False,not cointegrated (trace 9.22 <= critical 15.49),0.08801037248791913,-0.9119896275120809,,,,,0,,0,,0.0,,0
15,2017-07-07,2019-07-09,2019-07-10,2020-01-07,7.9586916012186935,15.4943,False,27.85670434921576,0.15809669771999935,0.0651303382391434,1.0,False,not cointegrated (trace 7.96 <= critical 15.49),0.5790483488599997,-0.4209516511400003,,,,,0,,0,,0.0,,0
16,2018-01-05,2020-01-07,2020-01-08,2020-07-08,7.846591109266721,15.4943,False,25.296521896796275,0.07927285252268956,0.0670844202458974,1.0,False,not cointegrated (trace 7.85 <= critical 15.49),0.5396364262613448,-0.4603635737386552,,,,,0,,0,,0.0,,0
17,2018-07-09,2020-07-08,2020-07-09,2021-01-06,6.1968886929508455,15.4943,False,39.52314568057263,0.6067259173209525,0.17255634355168814,1.0,False,not cointegrated (trace 6.20 <= critical 15.49),0.8033629586604762,-0.19663704133952375,,,,,0,,0,,0.0,,0
18,2019-01-08,2021-01-06,2021-01-07,2021-07-08,13.826219620947267,15.4943,False,26.2713873952515,1.0,0.25936999353260665,1.0,False,not cointegrated (trace 13.83 <= critical 15.49),0.4584687325045069,0.5415312674954931,,,,,0,,0,,0.0,,0
19,2019-07-10,2021-07-08,2021-07-09,2022-01-05,8.901379831691546,15.4943,False,26.362317468861125,1.0,0.26229708272476515,1.0,False,not cointegrated (trace 8.90 <= critical 15.49),0.8047416446943946,0.19525835530560548,,,,,0,,0,,0.0,,0
20,2020-01-08,2022-01-05,2022-01-06,2022-07-08,10.300838874600519,15.4943,False,21.939000231570716,0.021779986853383615,0.09423590354648013,1.0,False,not cointegrated (trace 10.30 <= critical 15.49),0.5108899934266918,-0.4891100065733082,,,,,0,,0,,0.0,,0
21,2020-07-09,2022-07-08,2022-07-11,2023-01-06,10.311677077878816,15.4943,False,21.85939330721909,0.02690710977902455,0.06806372910355606,1.0,False,not cointegrated (trace 10.31 <= critical 15.49),0.5134535548895123,-0.4865464451104877,,,,,0,,0,,0.0,,0
22,2021-01-07,2023-01-06,2023-01-09,2023-07-11,6.188906327238377,15.4943,False,41.48807863690369,0.11511430446057136,0.059352208647541205,1.0,False,not cointegrated (trace 6.19 <= critical 15.49),0.5575571522302857,-0.4424428477697143,,,,,0,,0,,0.0,,0
23,2021-07-09,2023-07-11,2023-07-12,2024-01-09,8.434966352237259,15.4943,False,40.78173712793115,0.7806593720238386,0.1364099950704782,1.0,False,not cointegrated (trace 8.43 <= critical 15.49),0.8903296860119193,-0.10967031398808073,,,,,0,,0,,0.0,,0
24,2022-01-06,2024-01-09,2024-01-10,2024-07-11,12.066815130794515,15.4943,False,18.405376917283146,1.0,0.16591599785104097,1.0,False,not cointegrated (trace 12.07 <= critical 15.49),0.8677059715163717,0.13229402848362834,,,,,0,,0,,0.0,,0
25,2022-07-11,2024-07-11,2024-07-12,2024-12-31,8.947406570140425,15.4943,False,22.909158741698484,1.0,0.14843336350798988,1.0,False,not cointegrated (trace 8.95 <= critical 15.49),0.29757355533188046,0.7024264446681195,,,,,0,,0,,0.0,,0
