direction,signal_date,entry_date,exit_date,exit_reason,holding_bars,entry_equity,entry_gross_notional,gross_pnl,borrow_cost,trading_cost,net_pnl,return_on_equity,is_open,fold
-1,2012-07-27,2012-07-30,2012-08-31,exit,24,100000.0,100000.0,522.7024601948822,30.173302632441874,101.01374435960551,391.5154132028348,0.003915154132028348,False,1
-1,2012-11-30,2012-12-03,2013-01-03,end_of_window,21,100391.51541320283,100391.51541320281,-1957.7011115989446,26.67728695348886,102.65447730174007,-2087.0328758541737,-0.02078893686646851,False,1
-1,2015-07-20,2015-07-21,2015-08-10,exit,14,98304.48253734868,98304.48253734868,1719.6499526976515,13.726464877864608,97.78120058199927,1608.1422872377877,0.016358788996491676,False,7
1,2015-08-24,2015-08-25,2015-08-26,exit,1,99912.62482458648,99912.62482458648,404.73536320686003,0.9614701266562714,101.13875488361111,302.63513819659266,0.0030289979742592074,False,7
1,2015-08-31,2015-09-01,2015-09-15,exit,9,100215.25996278308,100215.25996278308,1951.7818255039779,8.693804012174223,101.06705152400815,1842.0209699677955,0.018380643533248992,False,7
-1,2015-11-19,2015-11-20,2016-01-05,end_of_window,29,102057.28093275087,102057.28093275087,-2855.884993497086,29.70374488804636,99.51641900738949,-2985.105157392522,-0.029249311074234015,False,7
-1,2016-07-25,2016-07-26,2016-08-29,exit,24,99072.17577535834,99072.17577535834,981.5102968572514,26.09582949010199,99.82595970620363,855.5885076609458,0.008636012088812442,False,9
1,2016-12-16,2016-12-19,2016-12-30,exit,8,99927.76428301926,99927.76428301928,689.4277716405845,7.204504271484574,100.22323591423142,582.0000314548686,0.005824207472574946,False,9
-1,2017-02-15,2017-02-16,2017-05-09,exit,56,100509.76431447415,100509.76431447416,-1364.3168068722437,60.83215933731331,98.37879625634162,-1523.5277624658984,-0.015158007511579641,False,10
1,2017-06-01,2017-06-02,2017-06-15,exit,9,98986.23655200822,98986.23655200822,877.6921291405278,8.08379104494292,99.39083452602796,770.2175035695568,0.007781056542793986,False,10
-1,2019-03-06,2019-03-07,2019-03-28,exit,15,99756.4540555778,99756.4540555778,324.956473796365,17.36979184578768,99.97352473370171,207.6131572168756,0.0020812002509753113,False,14
-1,2019-04-03,2019-04-04,2019-04-08,exit,2,99964.06721279467,99964.06721279467,351.55404071426244,2.3115300376807273,100.24781268846363,248.9946979881181,0.002490842008839838,False,14
-1,2019-05-20,2019-05-21,2019-07-09,end_of_window,33,100213.06191078278,100213.06191078278,-778.5695893835316,38.94243987425541,101.93503988458315,-919.4470691423702,-0.009174922426389199,False,14
1,2019-08-09,2019-08-12,2019-09-06,exit,18,99293.61484164042,99293.61484164042,1086.207041429622,16.421596907374923,101.02409045384063,968.7613540684064,0.009756532236372366,False,15
-1,2019-10-28,2019-10-29,2019-11-07,exit,7,100262.3761957088,100262.3761957088,713.9504880417937,7.451052008388631,100.85587265641534,605.6435633769897,0.006040586572522416,False,15
1,2020-01-31,2020-02-03,2020-02-25,stop,15,100868.01975908579,100868.0197590858,-1337.4858188266442,15.519877196767329,99.63237465280243,-1452.6380706762138,-0.014401373935422838,False,16
1,2020-02-28,2020-03-02,2020-03-11,exit,7,99415.3816884096,99415.38168840962,1315.197051960252,6.638999608048107,91.61659368982683,1216.941458662377,0.012240977583092203,False,16
-1,2020-03-17,2020-03-18,2020-03-19,exit,1,100632.32314707196,100632.32314707196,227.30105362925306,0.9894374234244193,101.58194323619523,124.72967296963341,0.0012394593413822285,False,16
1,2020-03-20,2020-03-23,2020-03-31,exit,6,100757.0528200416,100757.05282004162,-1501.4926099299987,6.987966557500045,112.10126424225831,-1620.5818407297572,-0.01608405362574685,False,16
1,2020-04-07,2020-04-08,2020-04-15,exit,4,99136.47097931184,99136.47097931184,1991.1642066376971,4.036251891886726,99.82415543598245,1887.303799309828,0.019037431740975302,False,16
1,2020-04-21,2020-04-22,2020-05-19,exit,19,101023.77477862166,101023.77477862168,-148.47316522640907,20.0135527808845,104.00461360585192,-272.49133161314546,-0.0026972990487661845,False,16
1,2020-08-13,2020-08-14,2020-09-17,exit,23,100751.28344700848,100751.28344700848,203.85441166766486,25.81613341487599,100.21648131234736,77.82179694044152,0.0007724149437895048,False,17
-1,2020-10-23,2020-10-26,2020-12-01,exit,25,100829.10524394891,100829.10524394891,201.8636438612108,23.341671956842816,106.56163325742041,71.96033864694756,0.000713686176951036,False,17
1,2021-02-10,2021-02-11,2021-04-21,exit,47,100901.06558259585,100901.06558259585,-2203.8767864480096,55.08300870542806,103.73208625894077,-2362.6918814123787,-0.023415925964412342,False,18
1,2021-05-18,2021-05-19,2021-07-08,end_of_window,34,98538.3737011835,98538.37370118349,207.23818176473551,38.48118234685421,98.65150005292236,70.10549936495894,0.0007114537893384873,False,18
